Connecting...
Enable Sensors (Acc, Mag, Gyro)
Timestamp,X,Y,Z,MagX,MagY,MagZ,GyroX,GyroY,GyroZ
2017:02:03:16:53:18:952,0,-0.1,1,8.7,-28.2,46.2,-4.3,-5.3,-3.1
2017:02:03:16:53:18:952,0,-0.1,1,8.7,-28.2,46.2,-4.3,-5.3,-3.1
2017:02:03:16:53:18:952,0,-0.1,1,8.7,-28.2,46.2,-4.3,-5.3,-3.1
2017:02:03:16:53:18:952,0,-0.1,1,8.7,-28.2,46.2,-4.3,-5.3,-3.1
2017:02:03:16:53:18:952,0,-0.1,1,8.7,-28.2,46.2,-4.3,-5.3,-3.1
2017:02:03:16:53:18:953,0,-0.1,1,8.7,-28.2,46.2,-4.3,-5.3,-3.1
2017:02:03:16:53:18:953,0,-0.1,1,8.7,-28.2,46.2,-4.3,-5.3,-3.1
2017:02:03:16:53:18:953,0,-0.1,1,8.7,-28.2,46.2,-4.3,-5.3,-3.1
2017:02:03:16:53:19:946,0.1,0,1,8.8,-30.9,45.7,-1,0,-4.8
2017:02:03:16:53:19:946,0.1,0,1,8.8,-30.9,45.7,-1,0,-4.8
2017:02:03:16:53:19:946,0.1,0,1,8.8,-30.9,45.7,-1,0,-4.8
2017:02:03:16:53:19:946,0.1,0,1,8.8,-30.9,45.7,-1,0,-4.8
2017:02:03:16:53:19:946,0.1,0,1,8.8,-30.9,45.7,-1,0,-4.8
2017:02:03:16:53:19:946,0.1,0,1,8.8,-30.9,45.7,-1,0,-4.8
2017:02:03:16:53:19:946,0.1,0,1,8.8,-30.9,45.7,-1,0,-4.8
2017:02:03:16:53:19:946,0.1,0,1,8.8,-30.9,45.7,-1,0,-4.8
2017:02:03:16:53:19:946,0.1,0,1,8.8,-30.9,45.7,-1,0,-4.8
2017:02:03:16:53:20:940,0,0,1,8.2,-29.2,45.6,3.4,0.2,-3.9
2017:02:03:16:53:20:940,0,0,1,8.2,-29.2,45.6,3.4,0.2,-3.9
2017:02:03:16:53:20:940,0,0,1,8.2,-29.2,45.6,3.4,0.2,-3.9
2017:02:03:16:53:20:940,0,0,1,8.2,-29.2,45.6,3.4,0.2,-3.9
2017:02:03:16:53:20:940,0,0,1,8.2,-29.2,45.6,3.4,0.2,-3.9
2017:02:03:16:53:20:940,0,0,1,8.2,-29.2,45.6,3.4,0.2,-3.9
2017:02:03:16:53:20:940,0,0,1,8.2,-29.2,45.6,3.4,0.2,-3.9
2017:02:03:16:53:20:940,0,0,1,8.2,-29.2,45.6,3.4,0.2,-3.9
2017:02:03:16:53:20:940,0,0,1,8.2,-29.2,45.6,3.4,0.2,-3.9
2017:02:03:16:53:21:934,0,0,1,9.7,-29.2,45.6,-0.4,-0.8,-3
2017:02:03:16:53:21:934,0,0,1,9.7,-29.2,45.6,-0.4,-0.8,-3
2017:02:03:16:53:21:934,0,0,1,9.7,-29.2,45.6,-0.4,-0.8,-3
2017:02:03:16:53:21:934,0,0,1,9.7,-29.2,45.6,-0.4,-0.8,-3
2017:02:03:16:53:21:934,0,0,1,9.7,-29.2,45.6,-0.4,-0.8,-3
2017:02:03:16:53:21:934,0,0,1,9.7,-29.2,45.6,-0.4,-0.8,-3
2017:02:03:16:53:21:934,0,0,1,9.7,-29.2,45.6,-0.4,-0.8,-3
2017:02:03:16:53:21:934,0,0,1,9.7,-29.2,45.6,-0.4,-0.8,-3
2017:02:03:16:53:21:939,0,0,1,9.7,-29.2,45.6,-0.4,-0.8,-3
2017:02:03:16:53:22:927,0.1,0,1.1,9,-30,44.8,-3.2,-2.6,-2.4
2017:02:03:16:53:22:927,0.1,0,1.1,9,-30,44.8,-3.2,-2.6,-2.4
2017:02:03:16:53:22:927,0.1,0,1.1,9,-30,44.8,-3.2,-2.6,-2.4
2017:02:03:16:53:22:927,0.1,0,1.1,9,-30,44.8,-3.2,-2.6,-2.4
2017:02:03:16:53:22:928,0.1,0,1.1,9,-30,44.8,-3.2,-2.6,-2.4
2017:02:03:16:53:22:928,0.1,0,1.1,9,-30,44.8,-3.2,-2.6,-2.4
2017:02:03:16:53:22:928,0.1,0,1.1,9,-30,44.8,-3.2,-2.6,-2.4
